Food Name (TH),Serving,Calories (Kcal),Protein (g),Carbs (g),Fat (g),Trainer Advice
ข้าวมันไก่,1 จาน,650,25,80,25,"แคลสูงจากน้ำมันไก่ เลือกไม่เอาหนังจะดีกว่า"
ข้าวกะเพราหมูกรอบ,1 จาน,750,20,70,40,"ไขมันสูงมาก ควรเลี่ยงถ้าลดไขมัน"
ข้าวกะเพราไก่,1 จาน,550,30,65,18,"เลือกไก่ไม่หนัง ลดน้ำมันได้"
ข้าวหมูแดง,1 จาน,600,22,85,18,"น้ำราดหวาน ควรขอลด"
ข้าวหมูกรอบ,1 จาน,700,20,70,35,"ไขมันสูงมาก จำกัดปริมาณ"
ส้มตำไทย,1 จาน,180,5,35,3,"แคลต่ำ ดีสำหรับลดไขมัน"
ส้มตำปูปลาร้า,1 จาน,200,8,30,5,"โซเดียมสูง ระวังบวม"
หมูปิ้ง,1 ไม้,120,8,5,8,"ไขมันพอมี กินได้แต่ไม่เยอะ"
ไก่ย่าง,1 ชิ้น,250,30,0,15,"โปรตีนดี เลี่ยงหนังจะดีขึ้น"
ข้าวเหนียว,1 ห่อ,200,4,45,1,"คาร์บสูง คุมปริมาณ"
ผัดไทย,1 จาน,700,20,90,25,"แคลสูง ลดน้ำมัน/น้ำตาลได้"
ก๋วยเตี๋ยวเรือ,1 ชาม,400,20,50,10,"สมดุลดี เลี่ยงมันเพิ่ม"
ก๋วยเตี๋ยวต้มยำ,1 ชาม,450,20,55,12,"รสจัด ระวังโซเดียม"
ก๋วยเตี๋ยวน้ำใส,1 ชาม,300,18,45,5,"ตัวเลือกแคลต่ำ"
ข้าวขาหมู,1 จาน,800,25,75,40,"ไขมันสูงมาก ควรเลี่ยง"
ข้าวคลุกกะปิ,1 จาน,600,20,85,15,"โซเดียมสูง คุมปริมาณ"
ข้าวผัดหมู,1 จาน,650,18,80,25,"น้ำมันเยอะ ขอผัดน้ำมันน้อย"
ข้าวผัดปู,1 จาน,600,25,75,20,"โปรตีนดี แต่ยังแคลสูง"
ไข่เจียว,1 ฟอง,250,10,2,22,"ไขมันสูงมาก ลดน้ำมัน"
ไข่ต้ม,1 ฟอง,70,6,1,5,"โปรตีนดี แคลต่ำ"
ต้มยำกุ้ง,1 ถ้วย,250,20,10,10,"โปรตีนดี แคลไม่สูง"
แกงเขียวหวานไก่,1 ถ้วย,500,25,20,35,"กะทิไขมันสูง คุมปริมาณ"
แกงส้ม,1 ถ้วย,180,15,20,5,"แคลต่ำ เหมาะลดไขมัน"
ลาบหมู,1 จาน,300,25,10,15,"โปรตีนดี เลี่ยงมันเพิ่ม"
น้ำตกหมู,1 จาน,350,25,10,20,"ไขมันปานกลาง คุมปริมาณ"
ยำวุ้นเส้น,1 จาน,300,15,40,10,"คาร์บสูงเล็กน้อย"
ยำมาม่า,1 จาน,450,12,60,18,"แคลค่อนข้างสูง"
ข้าวไข่เจียว,1 จาน,600,15,70,30,"ไขมันสูง ควรเลี่ยง"
ข้าวไข่ดาว,1 จาน,550,15,70,25,"น้ำมันสูง ลดทอดจะดี"
ชาไข่มุก,1 แก้ว,400,5,65,12,"น้ำตาลสูง ลดหวานจะดี"
ชานมเย็น,1 แก้ว,350,4,55,10,"น้ำตาลสูง ควรเลี่ยงบ่อย"
กาแฟเย็น,1 แก้ว,250,3,40,8,"เลือกหวานน้อย"
โอเลี้ยง,1 แก้ว,120,1,30,0,"แคลต่ำถ้าไม่หวาน"
น้ำส้มคั้น,1 แก้ว,150,2,35,0,"น้ำตาลธรรมชาติ คุมปริมาณ"
แตงโม,1 จาน,80,1,20,0,"แคลต่ำ ดี"
กล้วย,1 ลูก,100,1,25,0,"พลังงานดี ก่อนออกกำลังกาย"
มะม่วงน้ำปลาหวาน,1 ชุด,250,2,50,5,"น้ำตาลสูง"
โรตีนมข้น,1 ชิ้น,500,8,60,25,"แคลสูงมาก ควรเลี่ยง"
ขนมครก,5 ชิ้น,300,5,35,15,"ไขมันจากกะทิ"
ขนมเบื้อง,1 ชิ้น,150,3,20,6,"กินพอดี"
ลูกชิ้นทอด,5 ไม้,400,15,30,25,"น้ำมันสูง"
ไส้กรอกอีสาน,1 ไม้,250,12,10,18,"ไขมันสูง"
หมูทอด,1 จาน,500,25,20,35,"น้ำมันสูงมาก"
ไก่ทอด,1 ชิ้น,350,25,10,25,"เลี่ยงหนัง"
ปลาทอด,1 ตัว,400,30,0,30,"น้ำมันสูง"
ปลานึ่งมะนาว,1 ตัว,250,30,5,10,"ตัวเลือกดี"
ข้าวต้มหมู,1 ชาม,300,20,40,8,"เบา ย่อยง่าย"
โจ๊กหมู,1 ชาม,350,18,45,10,"เหมาะมื้อเช้า"
บะหมี่แห้งหมูแดง,1 จาน,500,20,65,15,"คุมซอสหวาน"
ข้าวแกง (2 อย่าง),1 จาน,700,25,80,30,"ขึ้นกับเมนู เลือกแกงไม่กะทิ"
