Program Name (TH),Difficulty,Equipment,Day 1,Day 2,Day 3,Notes
โปรแกรมมือใหม่ 3 วัน,มือใหม่,ดัมเบล,"Goblet Squat 3x12; Dumbbell Press 3x10; Dumbbell Row 3x10; Plank 3x30วิ","Lunge 3x10/ข้าง; Shoulder Press 3x10; Bicep Curl 3x12; Russian Twist 3x15","Deadlift 3x10; Push-Up 3x10; Lateral Raise 3x12; Sit-Up 3x12","พัก 1 วันระหว่างวัน; โฟกัสฟอร์มก่อนน้ำหนัก"
โปรแกรม Push/Pull/Legs,ปานกลาง,ดัมเบล,"Bench Press 4x8; Shoulder Press 3x10; Tricep Extension 3x12; Push-Up 3x12","Dumbbell Row 4x8; Hammer Curl 3x10; Reverse Fly 3x12; Shrug 3x12","Squat 4x10; Deadlift 3x8; Lunge 3x10; Calf Raise 3x15","แบ่งกล้ามเนื้อชัด; เพิ่มน้ำหนักได้เมื่อเริ่มชิน"
โปรแกรมลดไขมัน 20 นาที,มือใหม่,ดัมเบล,"Thruster 3x12; Mountain Climber 3x30วิ; Dumbbell Swing 3x15; Plank 3x30วิ","Jump Squat 3x12; Push-Up 3x10; Russian Twist 3x20; High Knees 3x30วิ","Burpee 3x10; Lunge 3x12; Sit-Up 3x15; Jumping Jack 3x30วิ","พักน้อย 30-45 วิ; เน้นต่อเนื่อง"
โปรแกรมดัมเบลคู่เดียว,มือใหม่,ดัมเบล,"Goblet Squat 3x12; Curl 3x12; Overhead Press 3x10; Plank 3x30วิ","Deadlift 3x10; Row 3x10; Lateral Raise 3x12; Sit-Up 3x12","Lunge 3x10; Floor Press 3x10; Russian Twist 3x15; Calf Raise 3x15","ใช้ดัมเบลเดียวสลับข้าง; คุมจังหวะ"
โปรแกรมเพิ่มกล้ามเนื้อ 3 วัน,ปานกลาง,ดัมเบล,"Bench Press 4x8; Incline Press 3x10; Fly 3x12; Push-Up 3x12","Row 4x8; Curl 3x10; Hammer Curl 3x10; Reverse Fly 3x12","Squat 4x10; Deadlift 4x8; Lunge 3x10; Calf Raise 3x15","พัก 60-90 วิ; เน้น progressive overload"
โปรแกรม Full Body 3 วัน,มือใหม่,ดัมเบล,"Squat 3x12; Press 3x10; Row 3x10; Plank 3x30วิ","Deadlift 3x10; Lunge 3x10; Curl 3x12; Sit-Up 3x12","Step-Up 3x10; Shoulder Press 3x10; Shrug 3x12; Russian Twist 3x15","เล่นครบทุกส่วน; เหมาะเริ่มต้น"
โปรแกรม HIIT ดัมเบล,สูง,ดัมเบล,"Thruster 4x12; Burpee 4x10; Swing 4x15; Plank 4x30วิ","Snatch 4x8; Jump Squat 4x12; Push-Up 4x12; Mountain Climber 4x30วิ","Clean 4x8; Lunge Jump 4x10; Sit-Up 4x15; High Knees 4x30วิ","พักสั้น 20-30 วิ; ใช้พลังสูง"
โปรแกรม Upper/Lower Split,ปานกลาง,ดัมเบล,"Bench Press 4x8; Row 4x8; Shoulder Press 3x10; Curl 3x12","Squat 4x10; Deadlift 3x8; Lunge 3x10; Calf Raise 3x15","Push-Up 3x12; Reverse Fly 3x12; Tricep 3x12; Plank 3x30วิ","แยกบนล่าง; เพิ่ม recovery"
โปรแกรม Core & Fat Burn,มือใหม่,ดัมเบล,"Russian Twist 3x20; Sit-Up 3x15; Plank 3x30วิ; Mountain Climber 3x30วิ","Leg Raise 3x15; Bicycle Crunch 3x20; Side Plank 3x20วิ; Jumping Jack 3x30วิ","Burpee 3x10; High Knees 3x30วิ; Plank 3x30วิ; Sit-Up 3x15","โฟกัสหน้าท้อง; คุมอาหารร่วม"
โปรแกรม Strength ดัมเบล,สูง,ดัมเบล,"Deadlift 5x5; Squat 5x5; Lunge 4x8; Calf Raise 4x12","Bench Press 5x5; Shoulder Press 4x6; Tricep 4x8; Push-Up 3x12","Row 5x5; Curl 4x8; Hammer Curl 4x8; Shrug 4x12","พักนาน 90-120 วิ; เน้นน้ำหนักสูง"
