Category,Question,Answer,Keywords
โภชนาการ,"กินโปรตีนเยอะจะทำให้ไตพังไหม?","สำหรับคนสุขภาพปกติ การกินโปรตีนในปริมาณเหมาะสมไม่ทำให้ไตพัง งานวิจัยส่วนใหญ่ยืนยันว่าปลอดภัย แต่ถ้ามีโรคไตควรปรึกษาแพทย์ก่อน","โปรตีน,ไต,กินเยอะ,โภชนาการ"
การสร้างกล้ามเนื้อ,"ผู้หญิงยกเวทแล้วจะตัวใหญ่เหมือนผู้ชายไหม?","ไม่ง่ายเลย เพราะฮอร์โมนเทสโทสเตอโรนของผู้หญิงต่ำกว่า ผู้หญิงส่วนใหญ่จะได้หุ่นกระชับ ไม่ได้ใหญ่แบบผู้ชาย","ผู้หญิง,เวท,กล้ามใหญ่,ฮอร์โมน"
การลดไขมัน,"ซิทอัพช่วยลดพุงได้จริงไหม?","ซิทอัพช่วยสร้างกล้ามท้อง แต่ไม่ได้เผาผลาญไขมันเฉพาะจุด ต้องคุมอาหารและออกกำลังกายรวมทั้งตัว","ลดพุง,ซิทอัพ,ไขมัน,หน้าท้อง"
โภชนาการ,"กินตอนกลางคืนทำให้อ้วนจริงไหม?","ไม่ได้ขึ้นอยู่กับเวลา แต่ขึ้นกับแคลอรี่รวมทั้งวัน ถ้ากินเกินก็อ้วนได้ไม่ว่าจะเวลาไหน","กินดึก,อ้วน,แคลอรี่,เวลา"
การลดไขมัน,"คาร์ดิโออย่างเดียวพอไหมสำหรับลดไขมัน?","คาร์ดิโอช่วยเผาผลาญ แต่การมีเวทเทรนนิ่งจะช่วยรักษากล้ามเนื้อ ทำให้เผาผลาญดีขึ้นในระยะยาว","คาร์ดิโอ,ลดไขมัน,เวท,เผาผลาญ"
โภชนาการ,"งดคาร์โบไฮเดรตจะลดน้ำหนักได้เร็วไหม?","อาจลดเร็วช่วงแรกเพราะน้ำลด แต่ระยะยาวอาจทำให้พลังงานต่ำและควบคุมยาก ควรเลือกคาร์บดีและกินให้พอดี","คาร์บ,ลดน้ำหนัก,low carb"
การสร้างกล้ามเนื้อ,"ยกหนักอย่างเดียวถึงจะสร้างกล้ามได้ไหม?","ไม่จำเป็น กล้ามเนื้อสร้างได้จากหลายช่วงน้ำหนัก ขอแค่มี progressive overload และฟอร์มถูกต้อง","ยกหนัก,กล้ามเนื้อ,progressive overload"
อาการบาดเจ็บ,"ปวดกล้ามเนื้อแปลว่าออกกำลังกายดีใช่ไหม?","ไม่เสมอไป อาการปวด (DOMS) เป็นเรื่องปกติ แต่ไม่ใช่ตัวชี้วัดว่าฝึกได้ผลเสมอ","DOMS,ปวดกล้ามเนื้อ,ฟิตเนส"
การลดไขมัน,"เหงื่อออกเยอะ = เผาผลาญไขมันเยอะจริงไหม?","เหงื่อคือการระบายความร้อน ไม่ได้บอกว่าเผาผลาญไขมันมากแค่ไหน","เหงื่อ,เผาผลาญ,ไขมัน"
โภชนาการ,"ต้องกินทุก 2-3 ชั่วโมงจริงไหม?","ไม่จำเป็น สำคัญคือปริมาณอาหารรวมทั้งวันและความสม่ำเสมอของการกิน","กินบ่อย,มื้ออาหาร,โภชนาการ"
